"","DATE","EXERCISE","CATEGORY","WEIGHT","REPS","SET_NUM","SOURCE"
"68",2014-08-08,"Cable Face Pull","Shoulders","12.5","15",2,"FitNotes"
"69",2014-08-08,"Cable Face Pull","Shoulders","17.5","15",3,"FitNotes"
"70",2014-08-08,"Assisted Wide-Grip Pull-Up","Back","40.5","9",1,"FitNotes"
"71",2014-08-08,"Assisted Wide-Grip Pull-Up","Back","36.5","9",2,"FitNotes"
"72",2014-08-08,"Assisted Dips","Triceps","36.5","9",1,"FitNotes"
"73",2014-08-08,"Assisted Dips","Triceps","36.5","9",2,"FitNotes"
"74",2014-08-08,"Assisted Dips","Triceps","32.5","9",3,"FitNotes"
"75",2014-08-08,"Assisted Wide-Grip Pull-Up","Back","32.5","9",3,"FitNotes"
"76",2014-08-08,"Dumbbell Pullover","Shoulders","10.0","12",1,"FitNotes"
"77",2014-08-08,"Dumbbell Pullover","Shoulders","12.5","12",2,"FitNotes"
"78",2014-08-09,"Barbell Squat","Legs","60.0","6",1,"FitNotes"
"79",2014-08-09,"Barbell Front Squat","Legs","60.0","3",1,"FitNotes"
"80",2014-08-09,"Barbell Front Squat","Legs","60.0","3",2,"FitNotes"
"81",2014-08-09,"Barbell Front Squat","Legs","60.0","3",3,"FitNotes"
"82",2014-08-09,"Barbell Squat","Legs","90.0","6",2,"FitNotes"
"83",2014-08-09,"Barbell Squat","Legs","70.0","6",3,"FitNotes"
"84",2014-08-09,"Barbell Squat","Legs","70.0","6",4,"FitNotes"
"85",2014-08-09,"Trap-Bar Deadlift","Back","90.0","6",1,"FitNotes"
"86",2014-08-09,"Trap-Bar Deadlift","Back","130.0","3",2,"FitNotes"
"87",2014-08-09,"Trap-Bar Deadlift","Back","150.0","2",3,"FitNotes"
"88",2014-08-09,"Trap-Bar Deadlift","Back","170.0","1",4,"FitNotes"
"89",2014-08-09,"Trap-Bar Deadlift","Back","180.0","1",5,"FitNotes"
"90",2014-08-09,"Leg Press","Legs","103.5","9",1,"FitNotes"
"91",2014-08-09,"Leg Press","Legs","103.5","12",2,"FitNotes"
"92",2014-08-09,"Leg Press","Legs","103.5","12",3,"FitNotes"
"93",2014-08-09,"Lying Leg Curl Machine","Legs","20.0","15",1,"FitNotes"
"94",2014-08-09,"Lying Leg Curl Machine","Legs","25.0","15",2,"FitNotes"
"95",2014-08-09,"Lying Leg Curl Machine","Legs","30.0","15",3,"FitNotes"
"96",2014-08-09,"Standing Calf Raise Machine","Legs","49.5","9",1,"FitNotes"
"97",2014-08-09,"Standing Calf Raise Machine","Legs","49.5","9",2,"FitNotes"
"98",2014-08-09,"Standing Calf Raise Machine","Legs","49.5","9",3,"FitNotes"
"99",2014-08-09,"Seated Calf Raise Machine","Legs","35.0","9",1,"FitNotes"
"100",2014-08-09,"Seated Calf Raise Machine","Legs","35.0","15",2,"FitNotes"
"101",2014-08-09,"Seated Calf Raise Machine","Legs","35.0","15",3,"FitNotes"
"102",2014-08-09,"Adductor Machine","Legs","45.0","12",1,"FitNotes"
"103",2014-08-09,"Adductor Machine","Legs","65.0","12",2,"FitNotes"
"104",2014-08-09,"Adductor Machine","Legs","90.0","12",3,"FitNotes"
"105",2014-08-09,"Adductor Machine","Legs","115.0","3",4,"FitNotes"
"106",2014-08-09,"Abductor Machine","Legs","55.0","12",1,"FitNotes"
"107",2014-08-09,"Abductor Machine","Legs","75.0","12",2,"FitNotes"
"108",2014-08-09,"Abductor Machine","Legs","95.0","12",3,"FitNotes"
"109",2014-08-09,"Abductor Machine","Legs","115.0","3",4,"FitNotes"
"110",2014-08-15,"Barbell Squat","Legs","60.0","5",1,"FitNotes"
"111",2014-08-15,"Barbell Squat","Legs","60.0","10",2,"FitNotes"
"112",2014-08-15,"Barbell Squat","Legs","70.0","10",3,"FitNotes"
"113",2014-08-15,"Barbell Squat","Legs","75.0","10",4,"FitNotes"
"114",2014-08-15,"Trap-Bar Deadlift","Back","120.0","5",1,"FitNotes"
"115",2014-08-15,"Trap-Bar Deadlift","Back","140.0","3",2,"FitNotes"
"116",2014-08-15,"Trap-Bar Deadlift","Back","180.0","1",3,"FitNotes"
"117",2014-08-15,"Leg Press","Legs","100.0","12",1,"FitNotes"
"118",2014-08-15,"Leg Press","Legs","120.0","12",2,"FitNotes"
"119",2014-08-15,"Leg Press","Legs","120.0","12",3,"FitNotes"
"120",2014-08-15,"Lying Leg Curl Machine","Legs","35.0","12",1,"FitNotes"
"121",2014-08-15,"Lying Leg Curl Machine","Legs","40.0","12",2,"FitNotes"
"122",2014-08-15,"Seated Calf Raise Machine","Legs","50.0","15",1,"FitNotes"
"123",2014-08-15,"Seated Calf Raise Machine","Legs","60.0","10",2,"FitNotes"
"124",2014-08-15,"Seated Calf Raise Machine","Legs","60.0","8",3,"FitNotes"
"125",2014-08-15,"Lying Leg Curl Machine","Legs","40.0","12",3,"FitNotes"
"126",2014-08-15,"Adductor Machine","Legs","60.0","12",1,"FitNotes"
"127",2014-08-15,"Adductor Machine","Legs","85.0","12",2,"FitNotes"
"128",2014-08-15,"Adductor Machine","Legs","100.0","10",3,"FitNotes"
"129",2014-08-15,"Abductor Machine","Legs","65.0","15",1,"FitNotes"
"130",2014-08-15,"Abductor Machine","Legs","80.0","12",2,"FitNotes"
"131",2014-08-15,"Abductor Machine","Legs","95.0","12",3,"FitNotes"
"132",2014-08-16,"Assisted Dips","Triceps","36.5","10",1,"FitNotes"
"133",2014-08-16,"Parallel Bar Triceps Dip","Triceps","0.0","3",1,"FitNotes"
"134",2014-08-16,"Assisted Dips","Triceps","28.5","10",2,"FitNotes"
"135",2014-08-16,"Assisted Dips","Triceps","20.5","10",3,"FitNotes"
"136",2014-08-16,"Incline Barbell Bench Press","Chest","50.0","5",1,"FitNotes"
"137",2014-08-16,"Incline Barbell Bench Press","Chest","50.0","8",2,"FitNotes"
"138",2014-08-16,"Incline Barbell Bench Press","Chest","50.0","5",3,"FitNotes"
"139",2014-08-16,"Incline Barbell Bench Press","Chest","40.0","8",4,"FitNotes"
"140",2014-08-16,"Incline Barbell Bench Press","Chest","40.0","8",5,"FitNotes"
"141",2014-08-16,"Neutral Chin Up","Back","0.0","5",1,"FitNotes"
"142",2014-08-16,"Assisted Wide-Grip Pull-Up","Back","20.5","5",1,"FitNotes"
"143",2014-08-16,"Assisted Pull-Up","Back","20.5","5",1,"FitNotes"
"144",2014-08-16,"Incline Dumbbell Fly","Chest","7.5","12",1,"FitNotes"
"145",2014-08-16,"Incline Dumbbell Fly","Chest","7.5","12",2,"FitNotes"
"146",2014-08-16,"Incline Dumbbell Fly","Chest","7.5","12",3,"FitNotes"
"147",2014-08-16,"Neutral Chin Up","Back","0.0","3",2,"FitNotes"
"148",2014-08-16,"Neutral Chin Up","Back","0.0","3",3,"FitNotes"
"149",2014-08-16,"Yates Row","Back","40.0","12",1,"FitNotes"
"150",2014-08-16,"Yates Row","Back","40.0","12",2,"FitNotes"
"151",2014-08-16,"Yates Row","Back","40.0","12",3,"FitNotes"
"152",2014-08-16,"Overhead Press","Shoulders","40.0","5",1,"FitNotes"
"153",2014-08-16,"Dumbbell Hammer Curl","Biceps","7.5","12",1,"FitNotes"
"154",2014-08-16,"Dumbbell Hammer Curl","Biceps","10.0","8",2,"FitNotes"
"155",2014-08-18,"Assisted Dips","Triceps","16.5","5",1,"FitNotes"
"156",2014-08-18,"Assisted Dips","Triceps","16.5","5",2,"FitNotes"
"157",2014-08-18,"Assisted Dips","Triceps","16.5","5",3,"FitNotes"
"158",2014-08-18,"Seated Dumbbell Press","Shoulders","17.5","5",1,"FitNotes"
"159",2014-08-18,"Seated Dumbbell Press","Shoulders","20.0","5",2,"FitNotes"
"160",2014-08-18,"Seated Dumbbell Press","Shoulders","20.0","5",3,"FitNotes"
"161",2014-08-18,"Incline Dumbbell Fly","Chest","7.5","12",1,"FitNotes"
"162",2014-08-18,"Incline Dumbbell Fly","Chest","10.0","8",2,"FitNotes"
"163",2014-08-18,"Cable Crossover","Chest","10.0","10",1,"FitNotes"
"164",2014-08-18,"Cable Crossover","Chest","15.0","10",2,"FitNotes"
"165",2014-08-18,"Cable Crossover","Chest","20.0","10",3,"FitNotes"
"166",2014-08-18,"Standing Cable Fly","Chest","10.0","10",1,"FitNotes"
"167",2014-08-18,"Standing Cable Fly","Chest","15.0","10",2,"FitNotes"
"168",2014-08-18,"Standing Cable Fly","Chest","20.0","10",3,"FitNotes"
"169",2014-08-18,"Cable Crossover","Chest","25.0","10",4,"FitNotes"
"170",2014-08-18,"Standing Cable Fly","Chest","25.0","5",4,"FitNotes"
"171",2014-08-18,"Chin Up","Back","0.0","3",1,"FitNotes"
"172",2014-08-18,"Chin Up","Back","0.0","3",2,"FitNotes"
"173",2014-08-18,"T-Bar Row","Back","30.0","10",1,"FitNotes"
"174",2014-08-18,"T-Bar Row","Back","30.0","10",2,"FitNotes"
"175",2014-08-18,"T-Bar Row","Back","30.0","10",3,"FitNotes"
"176",2014-08-18,"Cable Preacher Curl","Biceps","20.0","10",1,"FitNotes"
"177",2014-08-18,"Cable Preacher Curl","Biceps","25.0","10",2,"FitNotes"
"178",2014-08-18,"Cable Preacher Curl","Biceps","30.0","10",3,"FitNotes"
"179",2014-08-18,"Overhead Press","Shoulders","40.0","10",1,"FitNotes"
"180",2014-08-18,"Overhead Press","Shoulders","40.0","5",2,"FitNotes"
"181",2014-08-18,"Rope Push Down","Triceps","22.5","10",1,"FitNotes"
"182",2014-08-18,"Rope Push Down","Triceps","35.0","10",2,"FitNotes"
"183",2014-08-18,"Rope Push Down","Triceps","40.0","10",3,"FitNotes"
"184",2014-08-18,"Isolateral Lat Pulldown","Back","50.0","10",1,"FitNotes"
"185",2014-08-18,"Isolateral Lat Pulldown","Back","50.0","10",2,"FitNotes"
"186",2014-08-18,"Incline Dumbbell Fly","Chest","7.5","12",3,"FitNotes"
"187",2014-08-18,"Incline Dumbbell Fly","Chest","7.5","15",4,"FitNotes"
"188",2014-08-21,"Assisted Dips","Triceps","28.5","10",1,"FitNotes"
"189",2014-08-21,"Assisted Dips","Triceps","24.5","10",2,"FitNotes"
