"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"Jump Squat (Toyotas)",2013-01-08,501,10,,"10 reps","7"
"Jump Squat (Toyotas)",2013-01-17,101,20,,"20 reps","15"
"Jump Squat (Toyotas)",2014-03-20,4,6,,"6 reps","5"
"Jump Squat (Toyotas)",2014-03-26,34,10,,"10 reps","7"
