"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Reverse Cable Curl",2012-01-18,401,5,,8,,"5 kg || 8 reps","5"
"Reverse Cable Curl",2012-01-18,402,7.5,,8,,"7.5 kg || 8 reps","5"
