"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"Bench Dip (Seated Dip)",2012-04-21,101,5,,"5 reps","5"
"Bench Dip (Seated Dip)",2012-09-21,301,5,,"5 reps","6"
"Bench Dip (Seated Dip)",2012-09-21,302,8,,"8 reps","11"
"Bench Dip (Seated Dip)",2013-01-16,801,5,,"5 reps","6"
