"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"Suspension Trainer Biceps Curl",2013-10-02,201,10,,"10 reps","16"
"Suspension Trainer Biceps Curl",2013-10-02,202,5,,"5 reps","8"
"Suspension Trainer Biceps Curl",2013-10-05,101,10,,"10 reps","16"
"Suspension Trainer Biceps Curl",2013-10-07,401,10,,"10 reps","16"
"Suspension Trainer Biceps Curl",2013-10-09,201,10,,"10 reps","16"
"Suspension Trainer Biceps Curl",2013-11-20,13,10,,"10 reps","16"
