"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"V-Bar Pull-Up",2013-11-16,1,4,,"4 reps","22"
"V-Bar Pull-Up",2013-11-16,2,4,,"4 reps","22"
"V-Bar Pull-Up",2013-12-21,1,2,,"2 reps","9"
