"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"Suspension Trainer Ys ",2013-10-05,301,10,,"10 reps","15"
"Suspension Trainer Ys ",2013-10-07,101,15,,"15 reps","22"
"Suspension Trainer Ys ",2013-10-09,1,5,,"5 reps","7"
"Suspension Trainer Ys ",2013-10-12,101,10,,"10 reps","15"
"Suspension Trainer Ys ",2013-12-16,1,5,,"5 reps","7"
