"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Wide-Grip Pulldown Behind The Neck",2012-01-18,101,35,,8,,"35 kg || 8 reps","19"
"Wide-Grip Pulldown Behind The Neck",2012-01-18,102,45,,8,,"45 kg || 8 reps","25"
"Wide-Grip Pulldown Behind The Neck",2012-01-18,103,45,,8,,"45 kg || 8 reps","25"
