"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Standing Biceps Cable Curl",2013-05-21,301,15,,5,,"15 kg || 5 reps","12"
"Standing Biceps Cable Curl",2013-12-27,13,45,,10,,"45 lb || 10 reps","15"
"Standing Biceps Cable Curl",2013-12-27,14,45,,10,,"45 lb || 10 reps","15"
