"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Bench Press",2013-04-04,103,45,,10,,"45 kg || 10 reps","61"
"Barbell Bench Press",2013-04-04,104,45,,10,,"45 kg || 10 reps","61"
"Barbell Bench Press",2013-04-04,105,45,,10,,"45 kg || 10 reps","61"
"Barbell Bench Press",2013-04-07,1,40,,5,,"40 kg || 5 reps","48"
"Barbell Bench Press",2013-04-07,2,40,,5,,"40 kg || 5 reps","48"
"Barbell Bench Press",2013-04-07,3,47.5,,3,,"47.5 kg || 3 reps","43"
"Barbell Bench Press",2013-04-07,4,55,,3,,"55 kg || 3 reps","48"
"Barbell Bench Press",2013-04-07,5,63.5,,3,,"63.5 kg || 3 reps","54"
"Barbell Bench Press",2013-04-07,6,70,,3,,"70 kg || 3 reps","60"
"Barbell Bench Press",2013-04-11,201,40,,10,,"40 kg || 10 reps","56"
"Barbell Bench Press",2013-04-11,202,40,,10,,"40 kg || 10 reps","56"
"Barbell Bench Press",2013-04-11,203,40,,10,,"40 kg || 10 reps","56"
"Barbell Bench Press",2013-04-11,204,40,,10,,"40 kg || 10 reps","56"
"Barbell Bench Press",2013-04-11,205,40,,10,,"40 kg || 10 reps","56"
"Barbell Bench Press",2013-04-12,801,30,,5,,"30 kg || 5 reps","41"
"Barbell Bench Press",2013-04-13,201,31,,5,,"31 kg || 5 reps","42"
"Barbell Bench Press",2013-04-13,202,41,,5,,"41 kg || 5 reps","48"
"Barbell Bench Press",2013-04-13,203,61,,5,,"61 kg || 5 reps","65"
"Barbell Bench Press",2013-04-13,204,67.5,,3,,"67.5 kg || 3 reps","58"
"Barbell Bench Press",2013-04-13,205,75,,4,,"75 kg || 4 reps","74"
"Barbell Bench Press",2013-04-16,1,30,,5,,"30 kg || 5 reps","41"
"Barbell Bench Press",2013-04-18,1,31,,5,,"31 kg || 5 reps","42"
"Barbell Bench Press",2013-04-18,2,31,,5,,"31 kg || 5 reps","42"
"Barbell Bench Press",2013-04-18,3,51,,5,,"51 kg || 5 reps","56"
"Barbell Bench Press",2013-04-18,4,71,,3,,"71 kg || 3 reps","61"
"Barbell Bench Press",2013-04-18,5,71,,3,,"71 kg || 3 reps","61"
"Barbell Bench Press",2013-04-22,201,31,,5,,"31 kg || 5 reps","42"
"Barbell Bench Press",2013-04-22,202,31,,5,,"31 kg || 5 reps","42"
"Barbell Bench Press",2013-04-22,203,51,,5,,"51 kg || 5 reps","56"
"Barbell Bench Press",2013-04-22,204,71,,5,,"71 kg || 5 reps","76"
"Barbell Bench Press",2013-04-22,205,76,,1,,"76 kg || 1 reps","45"
"Barbell Bench Press",2013-04-22,206,78.5,,1,,"78.5 kg || 1 reps","46"
"Barbell Bench Press",2013-04-27,1,35,,6,,"35 kg || 6 reps","47"
"Barbell Bench Press",2013-04-27,2,55,,6,,"55 kg || 6 reps","64"
"Barbell Bench Press",2013-04-27,3,55,,6,,"55 kg || 6 reps","64"
"Barbell Bench Press",2013-04-27,4,55,,6,,"55 kg || 6 reps","64"
"Barbell Bench Press",2013-04-30,701,31,,5,,"31 kg || 5 reps","42"
"Barbell Bench Press",2013-04-30,702,51,,6,,"51 kg || 6 reps","60"
"Barbell Bench Press",2013-04-30,703,71,,2,,"71 kg || 2 reps","51"
"Barbell Bench Press",2013-04-30,704,55,,6,,"55 kg || 6 reps","64"
"Barbell Bench Press",2013-04-30,705,60,,6,,"60 kg || 6 reps","68"
"Barbell Bench Press",2013-04-30,706,64,,6,,"64 kg || 6 reps","73"
"Barbell Bench Press",2013-05-05,401,31,,6,,"31 kg || 6 reps","45"
"Barbell Bench Press",2013-05-05,402,61,,6,,"61 kg || 6 reps","71"
"Barbell Bench Press",2013-05-05,403,61,,6,,"61 kg || 6 reps","71"
"Barbell Bench Press",2013-05-14,1201,31,,10,,"31 kg || 10 reps","50"
"Barbell Bench Press",2013-05-14,1202,51,,10,,"51 kg || 10 reps","68"
"Barbell Bench Press",2013-05-14,1203,61,,10,,"61 kg || 10 reps","79"
"Barbell Bench Press",2013-05-14,1204,71,,3,,"71 kg || 3 reps","62"
"Barbell Bench Press",2013-05-20,101,41,,10,,"41 kg || 10 reps","59"
"Barbell Bench Press",2013-05-20,102,51,,5,,"51 kg || 5 reps","58"
"Barbell Bench Press",2013-05-20,103,61,,5,,"61 kg || 5 reps","67"
"Barbell Bench Press",2013-05-20,104,71,,3,,"71 kg || 3 reps","62"
"Barbell Bench Press",2013-05-20,105,75,,1,,"75 kg || 1 reps","45"
"Barbell Bench Press",2013-05-20,106,80,,1,,"80 kg || 1 reps","49"
"Barbell Bench Press",2013-06-09,1,30,,10,,"30 kg || 10 reps","50"
"Barbell Bench Press",2013-06-09,2,50,,10,,"50 kg || 10 reps","67"
"Barbell Bench Press",2013-06-09,3,50,,10,,"50 kg || 10 reps","67"
"Barbell Bench Press",2013-06-09,4,50,,5,,"50 kg || 5 reps","57"
"Barbell Bench Press",2013-07-05,201,30,,10,,"30 kg || 10 reps","50"
"Barbell Bench Press",2013-07-05,202,50,,5,,"50 kg || 5 reps","57"
"Barbell Bench Press",2013-07-05,203,70,,3,,"70 kg || 3 reps","61"
"Barbell Bench Press",2013-07-05,204,50,,10,,"50 kg || 10 reps","67"
"Barbell Bench Press",2013-07-05,205,60,,5,,"60 kg || 5 reps","66"
"Barbell Bench Press",2013-07-15,501,50,,5,,"50 kg || 5 reps","57"
"Barbell Bench Press",2013-07-15,502,60,,5,,"60 kg || 5 reps","66"
"Barbell Bench Press",2013-07-15,503,30,,20,,"30 kg || 20 reps","56"
"Barbell Bench Press",2013-07-15,504,30,,15,,"30 kg || 15 reps","53"
"Barbell Bench Press",2013-07-24,201,30,,5,,"30 kg || 5 reps","42"
"Barbell Bench Press",2013-07-24,202,30,,5,,"30 kg || 5 reps","42"
"Barbell Bench Press",2013-07-24,203,30,,10,,"30 kg || 10 reps","50"
"Barbell Bench Press",2013-07-24,204,30,,10,,"30 kg || 10 reps","50"
"Barbell Bench Press",2013-07-24,205,50,,5,,"50 kg || 5 reps","57"
"Barbell Bench Press",2013-07-24,206,60,,5,,"60 kg || 5 reps","66"
"Barbell Bench Press",2013-07-24,207,65,,5,,"65 kg || 5 reps","71"
"Barbell Bench Press",2013-07-24,208,50,,5,,"50 kg || 5 reps","57"
"Barbell Bench Press",2013-07-24,209,30,,5,,"30 kg || 5 reps","42"
"Barbell Bench Press",2013-07-24,210,50,,5,,"50 kg || 5 reps","57"
"Barbell Bench Press",2013-07-24,211,55,,5,,"55 kg || 5 reps","61"
"Barbell Bench Press",2013-07-30,201,30,,10,,"30 kg || 10 reps","50"
"Barbell Bench Press",2013-07-30,202,40,,10,,"40 kg || 10 reps","58"
"Barbell Bench Press",2013-07-30,203,45,,10,,"45 kg || 10 reps","62"
"Barbell Bench Press",2013-07-30,204,50,,10,,"50 kg || 10 reps","67"
"Barbell Bench Press",2013-07-30,205,60,,10,,"60 kg || 10 reps","78"
"Barbell Bench Press",2013-08-07,301,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,302,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,303,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,304,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,305,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,306,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,307,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,308,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,309,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,310,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,311,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,312,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,313,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,314,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,315,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,316,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,317,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,318,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,319,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,320,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,321,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,322,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,323,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,324,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,325,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,326,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,327,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,328,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,329,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,330,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,331,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,332,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,333,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,334,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,335,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,336,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,337,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,338,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,339,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-07,340,40,,5,,"40 kg || 5 reps","49"
"Barbell Bench Press",2013-08-09,1,55,,6,,"55 kg || 6 reps","65"
"Barbell Bench Press",2013-08-09,2,55,,6,,"55 kg || 6 reps","65"
"Barbell Bench Press",2013-08-09,3,55,,6,,"55 kg || 6 reps","65"
"Barbell Bench Press",2013-08-09,4,55,,6,,"55 kg || 6 reps","65"
"Barbell Bench Press",2013-08-09,5,55,,6,,"55 kg || 6 reps","65"
"Barbell Bench Press",2013-08-09,6,55,,6,,"55 kg || 6 reps","65"
"Barbell Bench Press",2013-08-11,1,60,,5,,"60 kg || 5 reps","66"
"Barbell Bench Press",2013-08-11,2,60,,5,,"60 kg || 5 reps","66"
"Barbell Bench Press",2013-08-11,3,60,,5,,"60 kg || 5 reps","66"
"Barbell Bench Press",2013-08-11,4,60,,5,,"60 kg || 5 reps","66"
"Barbell Bench Press",2013-08-11,5,60,,5,,"60 kg || 5 reps","66"
"Barbell Bench Press",2013-08-11,6,60,,5,,"60 kg || 5 reps","66"
"Barbell Bench Press",2013-08-11,7,60,,8,,"60 kg || 8 reps","75"
"Barbell Bench Press",2013-08-13,201,65,,4,,"65 kg || 4 reps","65"
"Barbell Bench Press",2013-08-13,202,65,,4,,"65 kg || 4 reps","65"
"Barbell Bench Press",2013-08-13,203,65,,4,,"65 kg || 4 reps","65"
"Barbell Bench Press",2013-08-13,204,65,,4,,"65 kg || 4 reps","65"
"Barbell Bench Press",2013-08-13,205,65,,4,,"65 kg || 4 reps","65"
"Barbell Bench Press",2013-08-13,206,65,,4,,"65 kg || 4 reps","65"
"Barbell Bench Press",2013-08-13,207,65,,4,,"65 kg || 4 reps","65"
"Barbell Bench Press",2013-08-13,208,65,,4,,"65 kg || 4 reps","65"
"Barbell Bench Press",2013-08-14,101,70,,3,,"70 kg || 3 reps","61"
"Barbell Bench Press",2013-08-14,102,70,,3,,"70 kg || 3 reps","61"
"Barbell Bench Press",2013-08-14,103,70,,3,,"70 kg || 3 reps","61"
"Barbell Bench Press",2013-08-14,104,70,,3,,"70 kg || 3 reps","61"
"Barbell Bench Press",2013-08-14,105,70,,3,,"70 kg || 3 reps","61"
"Barbell Bench Press",2013-08-14,106,70,,3,,"70 kg || 3 reps","61"
"Barbell Bench Press",2013-08-14,107,50,,8,,"50 kg || 8 reps","65"
"Barbell Bench Press",2013-08-14,108,50,,12,,"50 kg || 12 reps","69"
"Barbell Bench Press",2013-08-14,109,50,,8,,"50 kg || 8 reps","65"
"Barbell Bench Press",2013-08-14,110,50,,10,,"50 kg || 10 reps","67"
"Barbell Bench Press",2013-08-16,1,50,,3,,"50 kg || 3 reps","46"
"Barbell Bench Press",2013-08-16,2,70,,1,,"70 kg || 1 reps","42"
"Barbell Bench Press",2013-08-16,3,70,,1,,"70 kg || 1 reps","42"
"Barbell Bench Press",2013-08-16,4,72.5,,1,,"72.5 kg || 1 reps","43"
"Barbell Bench Press",2013-08-16,5,30,,5,,"30 kg || 5 reps","42"
"Barbell Bench Press",2013-08-16,6,30,,5,,"30 kg || 5 reps","42"
"Barbell Bench Press",2013-08-16,7,30,,5,,"30 kg || 5 reps","42"
"Barbell Bench Press",2013-08-16,8,30,,5,,"30 kg || 5 reps","42"
"Barbell Bench Press",2013-08-16,9,30,,3,,"30 kg || 3 reps","34"
"Barbell Bench Press",2013-08-16,10,30,,3,,"30 kg || 3 reps","34"
"Barbell Bench Press",2013-08-16,11,30,,3,,"30 kg || 3 reps","34"
"Barbell Bench Press",2013-09-09,501,57.5,,5,,"57.5 kg || 5 reps","64"
"Barbell Bench Press",2013-09-12,1,30,,10,,"30 kg || 10 reps","50"
"Barbell Bench Press",2013-09-12,2,30,,10,,"30 kg || 10 reps","50"
"Barbell Bench Press",2013-09-12,3,70,,2,,"70 kg || 2 reps","52"
"Barbell Bench Press",2013-09-12,4,70,,2,,"70 kg || 2 reps","52"
"Barbell Bench Press",2013-09-12,5,60,,2,,"60 kg || 2 reps","45"
"Barbell Bench Press",2013-09-12,6,60,,3,,"60 kg || 3 reps","53"
"Barbell Bench Press",2013-09-12,7,60,,5,,"60 kg || 5 reps","66"
"Barbell Bench Press",2013-09-12,8,55,,2,,"55 kg || 2 reps","41"
"Barbell Bench Press",2013-09-12,9,55,,3,,"55 kg || 3 reps","49"
"Barbell Bench Press",2013-09-12,10,55,,4,,"55 kg || 4 reps","56"
"Barbell Bench Press",2013-09-14,1001,50,,10,,"50 kg || 10 reps","67"
"Barbell Bench Press",2013-09-14,1002,50,,10,,"50 kg || 10 reps","67"
"Barbell Bench Press",2013-09-24,1,30,,5,,"30 kg || 5 reps","42"
"Barbell Bench Press",2013-09-24,2,50,,3,,"50 kg || 3 reps","46"
"Barbell Bench Press",2013-09-24,3,70,,1,,"70 kg || 1 reps","42"
"Barbell Bench Press",2013-09-24,4,76,,4,,"76 kg || 4 reps","77"
"Barbell Bench Press",2013-12-07,1,30,,10,,"30 kg || 10 reps","50"
"Barbell Bench Press",2013-12-18,1,30,,10,,"30 kg || 10 reps","50"
"Barbell Bench Press",2013-12-18,2,50,,5,,"50 kg || 5 reps","57"
"Barbell Bench Press",2013-12-18,3,60,,5,,"60 kg || 5 reps","66"
"Barbell Bench Press",2013-12-18,4,60,,5,,"60 kg || 5 reps","66"
"Barbell Bench Press",2013-12-18,5,70,,2,,"70 kg || 2 reps","52"
"Barbell Bench Press",2013-12-18,6,75,,1,,"75 kg || 1 reps","45"
"Barbell Bench Press",2013-12-18,7,75,,1,,"75 kg || 1 reps","45"
"Barbell Bench Press",2013-12-18,8,77.5,,3,,"77.5 kg || 3 reps","69"
"Barbell Bench Press",2013-12-18,9,80,,2,,"80 kg || 2 reps","60"
"Barbell Bench Press",2013-12-18,10,70,,1,,"70 kg || 1 reps","42"
"Barbell Bench Press",2013-12-18,11,50,,10,,"50 kg || 10 reps","67"
"Barbell Bench Press",2014-01-02,4,40,,10,,"40 kg || 10 reps","58"
"Barbell Bench Press",2014-01-02,5,40,,10,,"40 kg || 10 reps","58"
"Barbell Bench Press",2014-01-02,6,40,,10,,"40 kg || 10 reps","58"
"Barbell Bench Press",2014-01-02,7,40,,10,,"40 kg || 10 reps","58"
"Barbell Bench Press",2014-01-02,8,40,,10,,"40 kg || 10 reps","58"
"Barbell Bench Press",2014-01-04,1,45,,8,,"45 kg || 8 reps","60"
"Barbell Bench Press",2014-01-04,2,45,,8,,"45 kg || 8 reps","60"
"Barbell Bench Press",2014-01-04,3,45,,8,,"45 kg || 8 reps","60"
"Barbell Bench Press",2014-01-12,9,45,,15,,"45 kg || 15 reps","66"
"Barbell Bench Press",2014-01-12,10,45,,15,,"45 kg || 15 reps","66"
"Barbell Bench Press",2014-01-18,1,50,,8,,"50 kg || 8 reps","65"
"Barbell Bench Press",2014-01-18,2,50,,8,,"50 kg || 8 reps","65"
"Barbell Bench Press",2014-01-18,3,50,,8,,"50 kg || 8 reps","65"
"Barbell Bench Press",2014-01-21,1,50,,7,,"50 kg || 7 reps","63"
"Barbell Bench Press",2014-01-21,2,40,,20,,"40 kg || 20 reps","65"
"Barbell Bench Press",2014-01-21,3,40,,20,,"40 kg || 20 reps","65"
"Barbell Bench Press",2014-01-23,3,40,,15,,"40 kg || 15 reps","61"
"Barbell Bench Press",2014-01-23,4,40,,15,,"40 kg || 15 reps","61"
"Barbell Bench Press",2014-01-24,6,40,,6,,"40 kg || 6 reps","52"
"Barbell Bench Press",2014-01-24,7,50,,6,,"50 kg || 6 reps","60"
"Barbell Bench Press",2014-01-24,8,70,,6,,"70 kg || 6 reps","81"
"Barbell Bench Press",2014-01-24,9,75,,4,,"75 kg || 4 reps","75"
"Barbell Bench Press",2014-01-24,10,82.5,,1,,"82.5 kg || 1 reps","50"
"Barbell Bench Press",2014-01-28,1,50,,6,,"50 kg || 6 reps","60"
"Barbell Bench Press",2014-01-28,2,70,,6,,"70 kg || 6 reps","81"
"Barbell Bench Press",2014-01-28,3,75,,5,,"75 kg || 5 reps","83"
"Barbell Bench Press",2014-01-28,4,50,,10,,"50 kg || 10 reps","67"
"Barbell Bench Press",2014-02-01,1,30,,10,,"30 kg || 10 reps","50"
"Barbell Bench Press",2014-02-01,2,50,,10,,"50 kg || 10 reps","67"
"Barbell Bench Press",2014-02-01,3,50,,10,,"50 kg || 10 reps","67"
"Barbell Bench Press",2014-02-01,4,60,,5,,"60 kg || 5 reps","66"
"Barbell Bench Press",2014-02-01,5,60,,5,,"60 kg || 5 reps","66"
"Barbell Bench Press",2014-02-01,6,60,,5,,"60 kg || 5 reps","66"
"Barbell Bench Press",2014-02-04,5,30,,15,,"30 kg || 15 reps","53"
"Barbell Bench Press",2014-02-04,6,30,,15,,"30 kg || 15 reps","53"
"Barbell Bench Press",2014-02-05,1,30,,30,,"30 kg || 30 reps","61"
"Barbell Bench Press",2014-02-05,2,50,,6,,"50 kg || 6 reps","60"
"Barbell Bench Press",2014-02-05,3,60,,6,,"60 kg || 6 reps","70"
"Barbell Bench Press",2014-02-05,4,65,,6,,"65 kg || 6 reps","76"
"Barbell Bench Press",2014-02-08,1,50,,3,,"50 kg || 3 reps","46"
"Barbell Bench Press",2014-02-08,2,50,,3,,"50 kg || 3 reps","46"
"Barbell Bench Press",2014-02-08,3,50,,3,,"50 kg || 3 reps","46"
"Barbell Bench Press",2014-02-08,4,50,,3,,"50 kg || 3 reps","46"
"Barbell Bench Press",2014-02-08,5,50,,3,,"50 kg || 3 reps","46"
"Barbell Bench Press",2014-02-08,6,50,,3,,"50 kg || 3 reps","46"
"Barbell Bench Press",2014-02-08,7,50,,3,,"50 kg || 3 reps","46"
"Barbell Bench Press",2014-02-08,8,50,,3,,"50 kg || 3 reps","46"
"Barbell Bench Press",2014-02-08,9,50,,3,,"50 kg || 3 reps","46"
"Barbell Bench Press",2014-02-08,10,50,,3,,"50 kg || 3 reps","46"
"Barbell Bench Press",2014-02-14,1,40,,6,,"40 kg || 6 reps","52"
"Barbell Bench Press",2014-02-14,2,50,,6,,"50 kg || 6 reps","60"
"Barbell Bench Press",2014-02-14,3,60,,6,,"60 kg || 6 reps","70"
"Barbell Bench Press",2014-02-14,4,60,,3,,"60 kg || 3 reps","53"
"Barbell Bench Press",2014-03-20,1,40,,6,,"40 kg || 6 reps","52"
"Barbell Bench Press",2014-03-20,2,60,,6,,"60 kg || 6 reps","70"
"Barbell Bench Press",2014-03-20,3,65,,6,,"65 kg || 6 reps","76"
