"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"Diamond Push-Up",2012-04-13,201,2,,"2 reps","5"
"Diamond Push-Up",2012-07-23,301,1,,"1 reps","5"
"Diamond Push-Up",2012-12-23,1,5,,"5 reps","7"
