"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"Body Weight Bulgarian Split Squat",2012-08-26,201,5,,"5 reps","6"
"Body Weight Bulgarian Split Squat",2012-08-29,1,10,,"10 reps","12"
