"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"Suspension Trainer Fallouts ",2013-10-05,1,10,,"10 reps","18"
"Suspension Trainer Fallouts ",2013-10-07,301,10,,"10 reps","18"
"Suspension Trainer Fallouts ",2013-10-09,101,5,,"5 reps","9"
"Suspension Trainer Fallouts ",2013-12-16,1,5,,"5 reps","9"
