"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Standing Dumbbell Triceps Extension",2012-10-24,401,12,,10,,"12 kg || 10 reps","18"
"Standing Dumbbell Triceps Extension",2013-05-22,701,10,,10,,"10 kg || 10 reps","18"
