"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"Crunch",2012-06-12,201,15,,"15 reps","7"
"Crunch",2012-06-15,1,35,,"35 reps","17"
"Crunch",2012-12-25,301,15,,"15 reps","7"
"Crunch",2014-03-12,7,50,,"50 reps","25"
