"Activity","Date (YYYYMMDD)","Set",,"unit","Combined","Points"
"Suspension Trainer Push-ups",2013-10-02,101,3,,"3 reps","5"
"Suspension Trainer Push-ups",2013-10-02,102,3,,"3 reps","5"
