"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Neck Extension - Harness",2013-09-09,101,2,,10,,"2 kg || 10 reps","16"
"Neck Extension - Harness",2013-09-09,102,5,,10,,"5 kg || 10 reps","16"
"Neck Extension - Harness",2013-09-17,1601,5,,10,,"5 kg || 10 reps","16"
"Neck Extension - Harness",2013-10-05,1401,5,,8,,"5 kg || 8 reps","16"
"Neck Extension - Harness",2013-10-05,1402,5,,8,,"5 kg || 8 reps","16"
"Neck Extension - Harness",2013-12-03,1,5,,20,,"5 kg || 20 reps","18"
