Date,Exercise,Category,Weight (kgs),Reps,Distance,Distance Unit,Time,Comment
2015-11-15,Barbell High Bar Squat,Legs,20.0,5,,,,""
2015-11-15,Barbell High Bar Squat,Legs,60.0,5,,,,""
2015-11-15,Barbell High Bar Squat,Legs,90.0,8,,,,""
2015-11-15,Barbell High Bar Squat,Legs,90.0,8,,,,""
2015-11-15,Barbell High Bar Squat,Legs,90.0,8,,,,""
2015-11-15,Barbell High Bar Squat,Legs,90.0,5,,,,""
2015-11-15,Barbell High Bar Squat,Legs,97.5,2,,,,""
2015-11-15,Barbell High Bar Squat,Legs,97.5,2,,,,""
2015-11-15,Flat Barbell Bench Press,Chest,20.0,10,,,,""
2015-11-15,Flat Barbell Bench Press,Chest,40.0,5,,,,""
2015-11-15,Flat Barbell Bench Press,Chest,62.5,9,,,,""
2015-11-15,Flat Barbell Bench Press,Chest,62.5,9,,,,""
2015-11-15,Flat Barbell Bench Press,Chest,62.5,9,,,,""
2015-11-15,Flat Barbell Bench Press,Chest,62.5,9,,,,""
2015-11-15,Barbell High Bar Squat,Legs,105.0,1,,,,""
2015-11-22,Flat Barbell Bench Press,Chest,20.0,10,,,,""
2015-11-22,Flat Barbell Bench Press,Chest,60.0,5,,,,""
2015-11-22,Flat Barbell Bench Press,Chest,70.0,5,,,,""
2015-11-22,Flat Barbell Bench Press,Chest,80.0,5,,,,""
2015-11-22,Flat Barbell Bench Press,Chest,80.0,1,,,,""
2015-11-22,Flat Barbell Bench Press,Chest,80.0,1,,,,""
2015-11-22,Flat Barbell Bench Press,Chest,80.0,2,,,,""
2015-11-22,Barbell Pendlay Row,Back,40.0,10,,,,""
2015-11-22,Barbell Pendlay Row,Back,60.0,10,,,,""
2015-11-22,Barbell Pendlay Row,Back,70.0,5,,,,""
2015-11-22,Barbell Pendlay Row,Back,80.0,3,,,,""
2015-11-22,Barbell Pendlay Row,Back,80.0,3,,,,""
2015-11-22,Barbell High Bar Squat,Legs,20.0,5,,,,""
2015-11-22,Barbell High Bar Squat,Legs,60.0,5,,,,""
2015-11-22,Barbell High Bar Squat,Legs,90.0,5,,,,""
2015-11-22,Barbell High Bar Squat,Legs,110.0,2,,,,""
2015-11-22,Barbell High Bar Squat,Legs,110.0,3,,,,""
2015-11-22,Barbell High Bar Squat,Legs,120.0,1,,,,""
2015-11-22,Barbell High Bar Squat,Legs,130.0,1,,,,""
2015-11-22,Rope Cable Face Pull,Shoulders,22.5,10,,,,""
2015-11-22,Rope Cable Face Pull,Shoulders,30.0,10,,,,""
2015-11-22,Rope Cable Face Pull,Shoulders,35.0,5,,,,""
2015-11-22,Rope Cable Face Pull,Shoulders,40.0,3,,,,""
2016-05-08,Barbell Front Squat,Legs,20.0,5,,,,""
2016-05-08,Barbell Front Squat,Legs,40.0,5,,,,""
2016-05-08,Barbell Front Squat,Legs,50.0,5,,,,""
2016-05-08,Barbell Front Squat,Legs,60.0,5,,,,""
2016-05-08,Barbell Front Squat,Legs,70.0,5,,,,""
2016-05-08,Barbell Hip Thrust,Legs,20.0,10,,,,""
2016-05-08,Barbell Hip Thrust,Legs,60.0,10,,,,""
2016-05-08,Barbell Hip Thrust,Legs,60.0,10,,,,""
2016-05-08,Barbell Hip Thrust,Legs,60.0,10,,,,""
2016-05-08,Machine Hack Squat,Legs,97.6,5,,,,""
2016-05-08,Machine Hack Squat,Legs,97.6,3,,,,""
2016-05-08,Standing Machine Calf Raise,Legs,80.3,10,,,,""
2016-05-08,Standing Machine Calf Raise,Legs,80.3,10,,,,""
2016-05-08,Standing Machine Calf Raise,Legs,80.3,10,,,,""
2016-05-08,Seated Calf Raise Machine,Legs,63.0,10,,,,""
2016-05-08,Seated Calf Raise Machine,Legs,63.0,10,,,,""
2016-05-08,Seated Calf Raise Machine,Legs,63.0,10,,,,""
2016-05-08,Rope Cable Face Pull,Shoulders,15.0,10,,,,""
2016-05-08,Rope Cable Face Pull,Shoulders,17.5,10,,,,""
2016-05-08,Bent-Over Cable Crossover Rear Delt Raise,Shoulders,2.5,8,,,,""
2016-05-08,Bent-Over Cable Crossover Rear Delt Raise,Shoulders,2.5,8,,,,""
2016-05-08,Rope Cable Face Pull,Shoulders,17.5,10,,,,""
2016-05-09,Seated Calf Raise Machine,Legs,63.0,10,,,,""
2016-05-09,Seated Calf Raise Machine,Legs,63.0,10,,,,""
2016-05-09,Seated Calf Raise Machine,Legs,63.0,10,,,,""
2016-05-09,Dumbbell Standing Lateral Raise,Shoulders,2.0,10,,,,""
2016-05-09,Dumbbell Standing Lateral Raise,Shoulders,4.0,10,,,,""
2016-05-09,Dumbbell Bent-Over Rear Delt Raise,Shoulders,2.0,10,,,,""
2016-05-09,Dumbbell Bent-Over Rear Delt Raise,Shoulders,4.0,10,,,,""
2016-05-09,Dumbbell Standing Lateral Raise,Shoulders,6.0,10,,,,""
