"Date","Exercise","Category","Weight (kgs)","Reps","Distance","Distance Unit","Time"
2014-08-09,Leg Press,Legs,103.5,12,,,
2014-08-09,Lying Leg Curl Machine,Legs,20.0,15,,,
2014-08-09,Lying Leg Curl Machine,Legs,25.0,15,,,
2014-08-09,Lying Leg Curl Machine,Legs,30.0,15,,,
2014-08-09,Standing Calf Raise Machine,Legs,49.5,9,,,
2014-08-09,Standing Calf Raise Machine,Legs,49.5,9,,,
2014-08-09,Standing Calf Raise Machine,Legs,49.5,9,,,
2014-08-09,Seated Calf Raise Machine,Legs,35.0,9,,,
2014-08-09,Seated Calf Raise Machine,Legs,35.0,15,,,
2014-08-09,Seated Calf Raise Machine,Legs,35.0,15,,,
2014-08-09,Adductor Machine,Legs,45.0,12,,,
2014-08-09,Adductor Machine,Legs,65.0,12,,,
2014-08-09,Adductor Machine,Legs,90.0,12,,,
2014-08-09,Adductor Machine,Legs,115.0,3,,,
2014-08-09,Abductor Machine,Legs,55.0,12,,,
2014-08-09,Abductor Machine,Legs,75.0,12,,,
2014-08-09,Abductor Machine,Legs,95.0,12,,,
2014-08-09,Abductor Machine,Legs,115.0,3,,,
2014-08-15,Barbell Squat,Legs,60.0,5,,,
2014-08-15,Barbell Squat,Legs,60.0,10,,,
2014-08-15,Barbell Squat,Legs,70.0,10,,,
2014-08-15,Barbell Squat,Legs,75.0,10,,,
2014-08-15,Trap-Bar Deadlift,Back,120.0,5,,,
2014-08-15,Trap-Bar Deadlift,Back,140.0,3,,,
2014-08-15,Trap-Bar Deadlift,Back,180.0,1,,,
2014-08-15,Leg Press,Legs,100.0,12,,,
2014-08-15,Leg Press,Legs,120.0,12,,,
2014-08-15,Leg Press,Legs,120.0,12,,,
2014-08-15,Lying Leg Curl Machine,Legs,35.0,12,,,
2014-08-15,Lying Leg Curl Machine,Legs,40.0,12,,,
2014-08-15,Seated Calf Raise Machine,Legs,50.0,15,,,
2014-08-15,Seated Calf Raise Machine,Legs,60.0,10,,,
2014-08-15,Seated Calf Raise Machine,Legs,60.0,8,,,
2014-08-15,Lying Leg Curl Machine,Legs,40.0,12,,,
2014-08-15,Adductor Machine,Legs,60.0,12,,,
2014-08-15,Adductor Machine,Legs,85.0,12,,,
2014-08-15,Adductor Machine,Legs,100.0,10,,,
2014-08-15,Abductor Machine,Legs,65.0,15,,,
2014-08-15,Abductor Machine,Legs,80.0,12,,,
2014-08-15,Abductor Machine,Legs,95.0,12,,,
2014-08-16,Assisted Dips,Triceps,36.5,10,,,
2014-08-16,Parallel Bar Triceps Dip,Triceps,0.0,3,,,
2014-08-16,Assisted Dips,Triceps,28.5,10,,,
2014-08-16,Assisted Dips,Triceps,20.5,10,,,
2014-08-16,Incline Barbell Bench Press,Chest,50.0,5,,,
2014-08-16,Incline Barbell Bench Press,Chest,50.0,8,,,
2014-08-16,Incline Barbell Bench Press,Chest,50.0,5,,,
2014-08-16,Incline Barbell Bench Press,Chest,40.0,8,,,
2014-08-16,Incline Barbell Bench Press,Chest,40.0,8,,,
2014-08-16,Neutral Chin Up,Back,0.0,5,,,
2014-08-16,Assisted Wide-Grip Pull-Up,Back,20.5,5,,,
2014-08-16,Assisted Pull-Up,Back,20.5,5,,,
2014-08-16,Incline Dumbbell Fly,Chest,7.5,12,,,
2014-08-16,Incline Dumbbell Fly,Chest,7.5,12,,,
2014-08-16,Incline Dumbbell Fly,Chest,7.5,12,,,
2014-08-16,Neutral Chin Up,Back,0.0,3,,,
2014-08-16,Neutral Chin Up,Back,0.0,3,,,
2014-08-16,Yates Row,Back,40.0,12,,,
2014-08-16,Yates Row,Back,40.0,12,,,
2014-08-16,Yates Row,Back,40.0,12,,,
2014-08-16,Overhead Press,Shoulders,40.0,5,,,
2014-08-16,Dumbbell Hammer Curl,Biceps,7.5,12,,,
2014-08-16,Dumbbell Hammer Curl,Biceps,10.0,8,,,
2014-08-18,Assisted Dips,Triceps,16.5,5,,,
2014-08-18,Assisted Dips,Triceps,16.5,5,,,
2014-08-18,Assisted Dips,Triceps,16.5,5,,,
2014-08-18,Seated Dumbbell Press,Shoulders,17.5,5,,,
2014-08-18,Seated Dumbbell Press,Shoulders,20.0,5,,,
2014-08-18,Seated Dumbbell Press,Shoulders,20.0,5,,,
2014-08-18,Incline Dumbbell Fly,Chest,7.5,12,,,
2014-08-18,Incline Dumbbell Fly,Chest,10.0,8,,,
2014-08-18,Cable Crossover,Chest,10.0,10,,,
2014-08-18,Cable Crossover,Chest,15.0,10,,,
